,1-1A,10-2B,11-2C,12-2D,13-2E,14-2F,15-2G,16-2H,17-3A,18-3B,19-3C,2-1B,20-3D,21-3E,22-3F,23-3G,24-3H,25-4A,26-4B,27-4C,28-4D,29-4E,3-1C,30-4F,31-4G,32-4H,33-5A,34-5B,35-5C,36-5D,37-6E,38-5F,39-5G,4-1D,40-5H,5-1E,6-1F,7-1G,8-1H,9-2A
Alcaligenaceae,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
Algoriphagus_terrigena,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
Alkaliphilus,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.556061,0.537751,0.597503,0.641766,0.671426,0.705563,0.748122,0.690599,0.79581,0.815859,0.647489,0.487441,0.599602,0.671426,0.669635,0.732106,0.712009,0.719891,0.639842,0.67321,0.651263,0.671426,0.565028,0.730605,0.651263,0.662385,0.730605,0.769874,0.687186,0.614066,0.729097,0.75094,0.861533,0.504553,0.703932,0.702293,0.678512,0.738033,0.599602,0.700647
Alphaproteobacteria,0.923489,0.918101,0.934662,0.945245,0.95167,0.958492,0.966241,0.955573,0.974064,0.977114,0.946523,0.901614,0.935193,0.95167,0.951296,0.963416,0.959716,0.961189,0.94481,0.952042,0.947356,0.95167,0.926022,0.963146,0.947356,0.949764,0.963146,0.969914,0.954892,0.938772,0.962873,0.966727,0.983595,0.907522,0.958179,0.957863,0.953135,0.964473,0.935193,0.957544
Alterococcus,0.123661,0.115873,0.143278,0.167931,0.187132,0.212577,0.25072,0.200933,0.305109,0.332953,0.171451,0.09677,0.144354,0.187132,0.185902,0.2354,0.217851,0.224527,0.166767,0.188367,0.173819,0.187132,0.127661,0.234029,0.173819,0.181019,0.234029,0.273726,0.198388,0.152005,0.232661,0.25355,0.412095,0.102921,0.211268,0.209962,0.192095,0.240923,0.144354,0.208661
Amaricoccus_macauensis,0.073811,0.068915,0.086299,0.102319,0.115055,0.132294,0.15894,0.124353,0.198698,0.219905,0.104636,0.057054,0.08699,0.115055,0.114232,0.148119,0.13592,0.140537,0.101553,0.115882,0.106199,0.115055,0.076339,0.147158,0.106199,0.110975,0.147158,0.175496,0.122629,0.091927,0.146201,0.160956,0.283599,0.060851,0.131397,0.130503,0.118384,0.152001,0.08699,0.129613
Aminobacter,0.042919,0.039984,0.050465,0.060272,0.068172,0.079014,0.096117,0.073998,0.122449,0.136907,0.061703,0.032926,0.050886,0.068172,0.067659,0.08912,0.081316,0.084259,0.059801,0.068688,0.06267,0.068172,0.04444,0.088502,0.06267,0.065632,0.088502,0.106962,0.072915,0.053895,0.087887,0.097429,0.182176,0.035177,0.078445,0.07788,0.070253,0.091622,0.050886,0.077317
Ammoniphilus,0.996995,0.996766,0.997464,0.997897,0.998156,0.998427,0.998731,0.998312,0.999032,0.999149,0.997949,0.996046,0.997486,0.998156,0.998141,0.998621,0.998475,0.998533,0.99788,0.998171,0.997983,0.998156,0.997102,0.99861,0.997983,0.99808,0.99861,0.998873,0.998285,0.997633,0.998599,0.99875,0.999394,0.996307,0.998415,0.998402,0.998215,0.998662,0.997486,0.99839
Anaerobacterium,0.042919,0.039984,0.050465,0.060272,0.068172,0.079014,0.096117,0.073998,0.122449,0.136907,0.061703,0.032926,0.050886,0.068172,0.067659,0.08912,0.081316,0.084259,0.059801,0.068688,0.06267,0.068172,0.04444,0.088502,0.06267,0.065632,0.088502,0.106962,0.072915,0.053895,0.087887,0.097429,0.182176,0.035177,0.078445,0.07788,0.070253,0.091622,0.050886,0.077317
