Species,1-1A,10-2B,11-2C,12-2D,13-2E,14-2F,15-2G,16-2H,17-3A,18-3B,19-3C,2-1B,20-3D,21-3E,22-3F,23-3G,24-3H,25-4A,26-4B,27-4C,28-4D,29-4E,3-1C,30-4F,31-4G,32-4H,33-5A,34-5B,35-5C,36-5D,37-6E,38-5F,39-5G,4-1D,40-5H,5-1E,6-1F,7-1G,8-1H,9-2A
Ignavibacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilumatobacter,21,0,25,26,0,22,62,73,30,94,17,0,30,0,0,55,64,40,59,21,6,21,0,47,27,0,183,279,0,0,0,0,34,0,0,109,96,57,0,45
Ilumatobacteraceae,100,278,193,144,272,226,442,278,143,311,120,84,133,166,182,159,270,179,212,280,238,196,96,246,178,193,291,404,203,134,305,349,521,107,176,406,350,374,276,275
Inordinaticella_fortuita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,29,0,0,0,0,0,0,0,0,0
Intrasporangiaceae,0,0,0,0,0,39,67,67,69,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,90,66,56,67,161,0,0,0,0,0,0,0,0
Isosphaeraceae,189,543,511,338,242,212,60,33,0,89,672,92,581,418,277,643,581,85,31,140,132,0,119,56,12,25,15,53,472,260,460,427,248,40,63,0,54,19,671,17
JG30-KF-AS9,249,193,463,264,203,170,16,23,24,0,257,122,128,114,196,175,202,143,0,147,253,0,150,0,0,0,28,18,141,69,257,85,71,85,78,0,0,0,462,0
JG30-KF-CM45,30,11,0,47,64,61,96,82,0,21,16,13,41,0,6,37,52,24,41,83,22,23,29,18,15,31,74,53,0,0,31,11,10,37,0,0,23,26,26,39
JG30-KF-CM66,0,13,13,9,0,0,45,0,90,148,0,0,0,0,0,10,0,140,120,94,205,422,0,414,314,535,239,236,0,0,0,0,382,0,84,269,214,255,11,187
JG36-GS-52,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,37,41,0,0,0,0,0,0,119,0,90,0,0,0,0,16
Jatrophihabitans,92,329,398,267,151,109,129,69,37,37,230,186,134,130,178,168,153,11,0,0,0,0,72,0,0,0,63,46,181,101,114,20,0,0,0,0,0,0,387,0
Juncus_effusus,16,0,0,15,0,40,0,0,0,0,0,0,19,0,0,0,0,0,0,0,19,6,0,0,7,0,14,0,0,0,0,26,29,15,0,6,11,0,0,0
KD4-96,1228,1286,1507,1160,1688,1839,2398,1882,1081,1746,389,990,814,750,787,829,1008,944,810,1809,1007,937,855,819,792,708,1571,2110,811,441,1168,1056,2472,1027,518,1148,1060,1324,1180,1287
KF-JG30-B3,0,0,0,0,0,0,0,0,35,20,0,0,0,46,35,0,4,31,0,0,73,0,0,30,27,26,0,0,28,23,14,0,62,0,39,0,0,0,0,0
KI89A_clade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,8,9,0,0,0,0,16,0,0,0,0,0,0,3
Kaistia,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,11,20,0,0,0,0,0,0,0,14,0,9,0,0
Kallotenuales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,79,42,0,70
Kineosporiaceae,0,50,43,0,0,0,0,0,0,0,0,0,32,18,0,16,27,0,0,0,0,0,0,16,0,0,0,0,0,0,30,69,27,0,0,0,0,26,75,17
Kitasatospora,0,0,0,0,42,42,29,0,0,0,52,0,125,0,0,66,69,0,0,0,0,0,0,0,0,0,0,0,0,35,0,76,0,0,0,0,0,0,0,0
Kouleothrix,0,0,0,0,0,0,0,0,16,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kribbella,72,147,353,218,80,78,77,117,14,34,25,62,54,41,36,40,53,77,87,58,38,0,82,14,0,13,51,69,23,0,57,40,30,45,0,43,0,38,369,38
Kribbella_sp.,20,0,0,0,0,0,0,17,14,0,0,0,0,0,0,0,0,0,42,10,0,0,0,39,36,0,47,112,0,0,0,0,51,0,0,25,19,28,0,15
Ktedonobacter,0,0,8,0,51,50,0,0,27,38,12,0,0,8,14,38,19,0,0,15,0,0,0,0,0,0,0,0,67,52,0,0,0,0,0,0,0,0,0,0
Ktedonobacter_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,103,0,0,0,0,0,0,0,0,0,0
Ktedonobacteraceae,0,0,0,0,110,86,47,28,0,0,119,0,69,58,132,203,118,0,0,0,0,0,0,0,0,0,11,23,45,71,36,49,41,0,46,0,0,0,5,0
Ktedonobacterales_bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
Kutzneria,0,0,0,0,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labrys,0,0,0,0,44,26,58,0,17,0,108,19,89,0,0,31,20,0,0,0,0,0,0,0,0,0,0,22,0,0,19,0,32,0,0,0,0,0,0,0
Lachnospiraceae,0,0,0,0,61,0,35,0,0,8,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,8,0,36,0,22,0,0,0,0,0,0,0,8,0
Lacunisphaera,0,0,0,0,19,19,9,0,0,0,20,0,0,0,66,0,10,0,0,0,0,0,27,0,0,0,0,0,0,58,60,73,0,27,0,0,0,0,0,0
Lacunisphaera_limnophila,0,0,0,52,0,0,32,0,0,42,0,0,40,0,0,16,0,0,18,0,0,0,0,0,0,11,0,24,0,0,27,24,53,0,34,0,33,0,0,31
Latescibacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,29,21,0,4,0,0,0,0,0,25,0,0,0,7,0,0,0
Latescibacterota,67,123,160,269,41,25,27,36,98,173,89,23,66,334,123,211,173,242,206,370,382,394,68,366,169,317,78,91,184,164,33,75,627,108,444,230,304,141,105,235
Legionella,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
Lentimicrobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptolinea,0,0,0,0,0,0,0,0,0,0,0,0,0,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,31,46,0,0,0,0,22,0,0,0,0,0
Leptolinea_tardivitalis,0,0,0,0,0,0,0,0,54,11,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,63,0,0,18,0,23,0,0,0,0,0
Lineage_IV,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,5,0,0
Litorilinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Litorilinea_aerophila,0,0,0,0,0,0,0,0,9,0,0,0,0,13,12,0,0,21,17,0,0,64,0,60,88,78,0,0,0,0,0,0,0,0,11,38,29,33,0,43
Longilinea,0,0,0,0,0,0,0,0,164,109,0,0,0,124,332,0,0,0,0,0,0,0,0,0,0,0,0,0,98,47,0,0,0,0,0,0,0,0,0,0
Longivirga_aurantiaca,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0
Luedemannella,55,40,42,35,64,0,24,34,0,0,27,23,40,0,0,44,70,0,0,40,37,0,42,0,0,0,0,0,34,21,84,56,0,27,0,0,0,0,39,0
Luedemannella_sp.,0,0,0,0,29,0,0,0,0,0,0,0,0,21,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
Luteitalea,13,0,0,0,28,0,42,18,22,82,0,0,0,0,0,0,0,131,161,0,82,145,0,191,162,197,99,99,0,0,0,18,214,0,110,220,214,156,0,123
Luteitalea_pratensis,0,0,0,0,0,0,0,0,0,0,0,0,0,39,42,0,0,0,19,0,0,0,0,21,0,0,0,0,48,23,0,0,0,0,0,26,30,36,0,0
Luteolibacter,0,0,0,20,0,0,0,0,13,22,0,0,29,0,0,0,0,35,0,0,0,16,0,17,7,0,0,0,20,0,0,27,30,0,0,13,0,7,28,45
Luteolibacter_flavescens,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Luteolibacter_gellanilyticus,0,0,0,0,14,0,0,0,27,21,0,0,0,0,0,0,0,0,0,0,0,25,0,23,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,29
Lutispora,0,0,10,0,24,34,18,0,0,14,12,7,0,0,26,34,45,0,8,0,0,12,0,0,7,0,24,23,15,0,0,0,21,0,0,24,0,22,32,19
Lysinibacillus,0,0,36,48,0,33,0,0,0,40,50,0,67,0,0,62,73,0,0,0,0,0,0,0,0,11,0,0,76,0,167,92,34,0,0,37,46,21,0,0
Lysinibacillus_xylanilyticus,542,248,270,182,511,592,1240,879,329,389,554,340,339,70,170,505,317,616,709,264,112,49,509,71,104,106,541,471,706,612,3017,2121,311,145,84,564,331,615,430,322
Lysobacter,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,15,0,0,34,0,25,19,0,0,0,0,0,0,0,15,0,0,20,28,24,0,21
MB-A2-108,32,0,32,19,18,41,280,144,104,181,0,30,0,9,0,38,34,39,81,146,118,364,18,515,492,550,199,194,0,0,78,32,473,10,107,120,50,174,0,138
MBNT15,0,50,0,72,0,24,0,0,36,21,76,0,54,172,132,90,41,7,43,0,10,55,0,73,114,80,12,0,21,61,0,19,202,0,16,0,0,57,14,45
MND1,73,0,46,0,140,98,186,93,368,423,72,51,39,77,19,50,59,252,196,124,317,507,106,494,155,132,75,85,92,71,28,34,495,87,235,117,124,77,9,86
MVP-88,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Magnetospirillum_moscoviense,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,17,0,5
Marmoricola,0,0,0,0,7,19,67,43,12,13,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,38,86,14,0,23,19,11,0,0,0,0,0,0,0
Marmoricola_aequoreus,0,0,0,0,0,0,24,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massilia,12,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,81,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,16,0,0,0,0
Mesorhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,37,55,0,33
Mesorhizobium_sp.,0,0,0,5,0,0,10,14,0,0,0,0,9,0,0,0,0,0,0,0,0,0,13,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
Methanobacterium,0,0,0,0,0,0,0,0,17,39,0,0,0,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,11
Methanobacterium_lacus,0,47,0,13,0,0,0,0,366,477,0,0,0,20,102,0,6,0,10,0,0,0,0,3,0,0,0,0,37,38,0,0,53,0,64,4,0,0,32,0
Methanobrevibacter_millerae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,10,0,0
Methanocella,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,33,0,0,0,0,0
Methanomassiliicoccaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,0,7,32,36,0,8,0,0,0,0,0,0,0,0,15,0,0,0
Methanomassiliicoccus,0,0,0,9,0,0,0,0,0,0,0,0,0,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
Methanosarcina,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,93,0,86,0,0,8,0,0
Methylobacter_tundripaludum,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,12,0,13,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0
Methylobacterium-Methylorubrum,0,0,0,0,0,0,0,0,14,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Methylocella,0,0,0,0,0,0,0,0,10,0,40,0,30,0,0,31,28,0,0,0,0,0,18,0,0,0,0,0,0,0,38,31,56,16,0,0,0,0,0,0
Methylocystis,0,0,0,0,0,0,0,0,50,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,16,0,0
Methyloligellaceae,158,81,244,251,152,108,326,220,183,210,227,72,142,330,412,118,103,485,674,1337,627,678,135,623,879,853,668,707,263,127,458,356,842,100,146,882,739,558,113,479
Methylomonadaceae,0,0,0,0,0,0,0,0,89,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylopilaceae,0,0,0,0,0,0,0,0,0,0,11,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylosinus_trichosporium,0,10,21,0,0,0,31,26,36,29,11,6,14,0,0,12,14,0,13,13,0,0,10,0,0,0,24,0,0,0,0,0,0,0,0,17,0,0,0,0
Microbacteriaceae,23,0,0,0,52,97,58,49,0,30,0,0,47,0,0,0,0,0,39,0,16,9,24,6,6,7,76,101,0,0,70,28,25,42,0,85,36,44,0,0
Micrococcaceae,58,16,56,104,103,176,330,353,404,766,14,48,107,45,43,301,206,144,221,377,583,314,83,278,166,157,409,463,100,53,108,222,990,54,343,276,239,285,69,218
Micrococcales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,20,0,0,0,0,0,0
Micromonospora,15,11,78,53,83,104,215,181,88,67,0,0,0,0,13,0,0,23,67,31,23,0,47,0,19,0,93,48,37,0,170,108,90,0,0,216,157,157,58,112
Micromonosporaceae,15,144,290,174,126,89,59,25,29,46,39,29,67,32,41,70,128,16,0,31,50,0,103,0,0,0,86,42,30,0,51,12,95,76,52,0,9,118,322,82
Micropepsaceae,0,0,0,18,75,104,0,0,0,0,43,9,80,0,0,29,36,0,0,6,0,0,0,0,0,0,0,0,0,0,129,68,0,12,0,0,0,0,11,0
Microscillaceae,0,0,0,0,0,0,60,33,44,104,0,0,0,0,0,94,64,76,144,0,11,199,0,124,132,102,63,90,0,0,0,0,321,0,155,188,223,359,0,222
Microtrichales,48,0,21,56,113,111,131,88,107,132,29,27,44,78,40,128,111,67,93,75,70,89,14,109,73,89,72,67,154,93,164,207,105,32,9,194,147,258,47,195
Microvirga,48,21,52,67,28,41,128,127,34,56,26,43,55,11,12,123,80,86,183,87,48,150,27,80,83,67,59,78,0,0,23,37,66,23,17,114,190,139,36,128
Mitochondria,0,0,6,4,12,7,0,15,11,10,0,5,6,5,0,0,0,9,0,0,80,0,8,0,0,0,0,0,0,0,0,5,0,20,0,0,0,0,0,18
Modestobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,23,0,18
Mumia,0,0,0,0,0,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,21,0,0,0,0,0,0,0,37,11,17,0,0
Mycoavidus,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycobacterium,648,168,303,431,745,564,766,874,170,229,943,422,982,884,1217,880,884,304,223,540,264,101,577,131,179,134,386,682,636,503,1307,998,428,318,86,231,181,224,267,162
Myxococcaceae,11,0,0,0,20,30,129,47,37,39,10,0,0,0,26,10,0,58,33,23,16,0,12,27,68,11,90,24,22,23,118,99,47,0,0,32,26,33,0,8
Myxococcales,8,0,4,0,5,20,0,0,0,0,17,0,0,46,26,5,0,0,0,0,15,0,14,0,0,0,0,0,43,37,22,0,0,14,20,0,0,13,0,12
Myxococcales_bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,4,7,0,5,0,0,0,0,7,0,0,0,3,12,0,8
Myxococcota,0,0,0,0,21,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NB1-j,7,23,0,0,0,0,0,0,41,43,8,0,9,117,59,11,8,40,15,18,168,87,0,115,122,148,17,19,0,0,0,0,185,0,76,0,6,27,49,36
Nakamurella,0,36,0,0,0,72,57,71,234,309,20,24,0,106,80,78,67,90,108,85,41,48,12,0,28,0,88,120,169,136,158,266,70,0,0,0,0,0,39,0
Nakamurella_endophytica,0,0,0,0,24,21,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
Nakamurella_flavida,69,0,48,82,55,87,101,59,0,0,0,0,89,0,0,38,55,0,0,0,0,0,61,37,0,0,0,182,0,0,32,0,0,0,0,0,42,40,0,32
Nakamurella_multipartita,23,0,0,0,18,105,77,96,20,33,0,0,0,0,0,0,0,35,34,0,0,0,63,0,0,8,100,143,0,0,58,31,10,45,0,21,32,59,0,49
Nakamurella_panacisegetis,0,0,0,0,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
Nannocystis,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neocystis_brevis,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Nitrobacter_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,25,0,0
Nitrosarchaeum,0,0,0,0,0,0,0,0,68,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrosomonadaceae,0,0,0,42,0,0,0,0,30,0,0,0,0,23,32,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,48,9,0,0,14,0,0,36,0,32
Nitrosomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0
Nitrosomonas_communis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrosopumilaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,18,0,55,83,247,0,0,0,0,0,0,16,0,0,11,0,0,0,0
Nitrososphaeraceae,74,264,302,234,0,0,246,152,18,16,21,21,0,8,24,101,86,804,624,1524,1201,747,41,875,1238,1122,794,503,22,0,0,54,674,0,110,720,601,1422,445,879
Nitrosospira,32,0,0,0,18,33,40,51,21,0,0,15,0,17,61,0,0,27,17,24,0,9,34,0,0,0,56,72,30,24,35,44,0,0,0,19,14,0,9,0
Nitrospira,11,0,0,0,0,0,15,24,0,0,0,0,0,0,0,13,0,0,0,30,20,131,0,133,124,120,16,23,0,0,8,19,13,0,0,0,0,34,7,0
Nitrospira_bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,38,0,0,21,0,12,0,10,0,0,0,0,0,0,0,0,7,35,45,57,0,48
Nitrospira_japonica,0,0,0,25,0,0,36,28,0,0,0,0,0,0,0,15,0,93,46,129,61,24,0,17,29,31,25,47,0,0,0,0,19,0,0,0,28,27,26,19
Nitrospira_moscoviensis,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
Nitrospirae_bacterium,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,11,0,32,45,0,11,58,59,0,0,0,0,0,0,62,0,45,14,34,59,0,107
Nocardia,29,0,0,0,0,0,31,45,12,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,32,56,0,0,0,0,0,11,0,0,0,0,0,0
Nocardioidaceae,0,0,0,0,0,0,33,33,0,0,20,20,0,0,0,25,0,0,0,56,54,0,0,0,0,0,29,114,0,0,0,0,0,0,10,33,0,0,0,0
Nocardioides,270,77,289,197,231,198,448,378,177,330,93,362,406,60,108,369,316,136,200,424,188,115,136,184,120,122,764,1170,190,93,272,226,299,189,61,323,231,253,96,230
Nocardioides_dilutus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,5,0,26,0,0,0,0,0,0,0,15,19,0,0,14
Nocardioides_halotolerans,21,13,36,28,12,14,108,89,50,100,5,27,54,0,0,44,37,35,52,43,26,14,6,21,23,32,124,164,0,0,0,0,70,0,0,79,39,40,0,42
Nonomuraea,0,0,0,0,0,0,32,15,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,21,14,11,17,0,0,0,0,0,0,0,12,0
Nostoc_PCC-73102,0,0,0,0,0,0,0,0,20,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,18,0,0,0,0,0,0,0
Nostocaceae,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nostocoida_limicola,49,23,14,25,80,45,58,0,42,46,64,0,58,65,56,45,67,0,0,50,0,0,61,0,0,0,0,0,86,7,82,56,27,0,0,0,14,0,14,0
Noviherbaspirillum,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
Novosphingobium,0,0,0,17,0,0,0,0,37,32,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,20,19,0,0,0,0,0,0
Novosphingobium_rosa,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
OLB12,90,22,52,87,110,312,0,0,0,0,131,23,89,0,52,17,99,0,0,50,0,0,102,0,0,0,0,22,0,48,218,59,0,79,0,21,29,27,35,23
OLB14,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,40,13,0,0,71,0,145,54,91,19,9,0,0,0,0,165,0,16,65,97,84,0,127
OLB15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,256,0,65,0,0,0,0,0
OM190,12,0,9,8,0,0,10,17,17,35,0,0,0,20,6,0,21,29,0,36,45,14,11,32,21,24,0,19,0,0,0,0,54,7,37,21,48,28,0,45
OM27_clade,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,16,26,15,0,0,0,0,0,20,0,0,0,0,0,0,0
OM60(NOR5)_clade,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPB41,5,10,19,15,0,17,0,0,20,0,0,0,0,0,0,0,0,29,45,28,7,56,0,54,32,34,10,13,0,12,0,10,50,0,0,14,18,19,14,0
Obscuribacteraceae,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0
Occallatibacter,0,0,0,21,33,36,0,0,0,0,0,0,9,0,0,0,0,0,0,42,7,0,0,0,0,0,0,0,46,48,43,78,25,0,0,0,0,0,0,0
Oceanobacillus,0,0,0,0,0,0,0,0,0,0,21,0,12,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,20,15,0,0,0,0,0,0,0,0,21,0
Oceanobacillus_chungangensis,0,0,0,0,9,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohtaekwangia,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,20,0,0,0,20,25,0,0
Oikopleura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,21,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Oikopleura_dioica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,32,43,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Omnitrophica_bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
Opitutaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,41,0,23,0,29
Ornatilinea_apprima,0,0,0,0,0,0,0,0,0,0,0,0,0,24,37,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0
Oryza_longistaminata,0,0,0,0,0,0,0,13,23,25,0,0,0,0,0,0,0,12,15,11,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,17,15,25,0,0
Oxalobacteraceae,0,0,0,0,0,36,0,13,0,0,24,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,33
P3OB-42,0,0,10,0,0,0,0,0,36,19,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,20,34,0,0,0,0,0,0,0,13,0,11,9,0
P9X2b3D02,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLTA13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,54,0,29,0,0,79,0,44
Paenibacillus,41,37,22,50,45,59,72,81,13,80,12,17,52,0,0,32,0,49,23,13,18,0,19,37,41,31,9,96,65,27,142,73,64,0,19,29,28,131,54,0
Paenibacillus_pectinilyticus,0,0,0,0,15,0,34,0,0,0,27,15,34,28,0,41,53,17,0,52,0,0,10,0,19,0,0,0,0,0,0,39,44,0,25,0,0,9,42,7
