,degree,betweenness,closeness,eigenvector,clustering
Devosia_geojensis,83,4.715121229204919e-05,0.5742397137745975,0.03336874038217884,0.9459300617102556
Verrucomicrobia_bacterium,83,0.0,0.5732142857142857,0.0319293394539855,1.0
Janthinobacterium,81,1.6081389309087867e-05,0.5721925133689839,0.03337114024884443,0.9780864197530864
Actinoplanes_ferrugineus,81,9.930324150103985e-05,0.5711743772241993,0.031330168008195915,0.9040123456790123
alpha_proteobacterium,80,9.542105441988038e-05,0.5711743772241993,0.03130392950334701,0.9199367088607595
Ferrovibrio,79,8.82006627073047e-05,0.5701598579040853,0.029933307084217622,0.9269717624148004
bacterium_MI-37,78,6.59013058555318e-06,0.5681415929203539,0.032712341831306925,0.9883449883449883
uncultured_Cytophagaceae,78,8.01606130521413e-05,0.5681415929203539,0.029544352772319305,0.9300699300699301
Corynebacterium,78,9.46944687000559e-05,0.5681415929203539,0.028756958237998325,0.9104229104229105
Hirschia,77,0.00010030462815599663,0.5681415929203539,0.03073756061829656,0.9514695830485305
Streptosporangiaceae,76,0.0,0.5661375661375662,0.03170625594574014,1.0
Sphingobacterium,76,0.0,0.5661375661375662,0.03170625594574014,1.0
Coccomyxa_sp.,74,4.347897837608779e-05,0.5641476274165202,0.029554308435053543,0.9452054794520548
uncultured_endolithic,73,0.0,0.5631578947368421,0.02992658782454015,1.0
Altererythrobacter,73,8.2752287509226e-05,0.5631578947368421,0.027670596358799447,0.9101978691019786
Jatrophihabitans,73,1.8615296335924681e-06,0.5641476274165202,0.030746762300262884,0.997716894977169
Larkinella,72,3.265708000731138e-06,0.5631578947368421,0.027980700050223968,0.9968701095461658
Clostridioides,71,0.0,0.5611888111888111,0.02759174573832566,1.0
Roseiflexaceae,71,0.0,0.5611888111888111,0.02759174573832566,1.0
Gammaproteobacteria,71,2.9186201940203683e-05,0.5621716287215411,0.027723730619710202,0.9601609657947686
Nocardioides_halotolerans,70,4.7530486469278625e-06,0.5611888111888111,0.02741173932508523,0.9954451345755694
Streptomycetaceae,70,0.0,0.5611888111888111,0.028970604288385337,1.0
Subgroup_17,70,0.0,0.5602094240837696,0.0286348066531472,1.0
delta_proteobacterium,69,0.0,0.5592334494773519,0.027022785013186914,1.0
uncultured_Verrucomicrobia,69,0.0,0.5592334494773519,0.02702278501318691,1.0
Sporichthyaceae,69,0.0,0.5592334494773519,0.027022785013186914,1.0
Paenibacillus,68,4.668071375487821e-05,0.5582608695652174,0.026748333955928523,0.9402985074626866
Niabella_sp.,67,2.2399141633727633e-06,0.5582608695652174,0.02725390953758164,0.9968340117593849
Sphingomonas_fennica,67,0.0,0.5582608695652174,0.027846868534603587,1.0
Cupriavidus,66,3.379175867251568e-05,0.5563258232235702,0.026328151085524824,0.9529137529137529
Delftia,66,0.000441176347053397,0.5563258232235702,0.024649217978214098,0.8125874125874126
Holophaga_sp.,65,4.35157480842289e-06,0.5563258232235702,0.02576572030547155,0.9951923076923077
Caulobacter_fusiformis,64,0.0,0.5544041450777202,0.025376765993573244,1.0
Neisseria,64,2.1228611536274606e-05,0.5553633217993079,0.025783598354442164,0.9657738095238095
soil_bacterium,61,0.00017351322354388103,0.5515463917525774,0.021768062568118193,0.921311475409836
uncultured_Sphingobacterium,61,0.00017351322354388103,0.5515463917525774,0.021768062568118193,0.921311475409836
Actinospica_sp.,60,2.2971977353212315e-06,0.5515463917525774,0.025405362204921393,0.9949152542372881
Anoxybacillus,57,8.772062121500672e-06,0.5477815699658704,0.02102854988528304,0.9837092731829574
Methylobacterium_jeotgali,57,6.972197012054048e-06,0.5487179487179488,0.021189192507390195,0.9931077694235589
uncultured_Flavobacterium,56,0.0,0.5468483816013628,0.020800238195491885,1.0
Winkia_neuii,56,0.0,0.5468483816013628,0.020800238195491885,1.0
Noviherbaspirillum,54,0.0,0.5449915110356537,0.022428440477946083,1.0
Alphaproteobacteria,50,5.16363437508908e-05,0.5413153456998314,0.01962371979945679,0.9322448979591836
Niabella_ginsengisoli,50,2.0936892511753706e-06,0.5422297297297297,0.020788999121746716,0.9951020408163266
Pirellulaceae,50,0.0,0.5413153456998314,0.021143212213887447,1.0
Pythium_ultimum,48,0.0,0.5394957983193277,0.019448902097392258,1.0
Filimonas_sp.,48,4.091567312501474e-06,0.5404040404040404,0.018611039585646746,0.9955673758865248
Dyella,48,0.0,0.5394957983193277,0.019448902097392258,1.0
Amycolatopsis_nigrescens,48,5.371677442355391e-06,0.5394957983193277,0.018450396963539586,0.9858156028368794
Actinoplanes_durhamensis,48,5.371677442355391e-06,0.5394957983193277,0.018450396963539586,0.9858156028368794
Mucilaginibacter_boryungensis,48,4.091567312501474e-06,0.5404040404040404,0.018611039585646746,0.9955673758865248
Verrucomicrobium_sp.,47,0.0,0.5385906040268457,0.018222085273748436,1.0
Roseomonas,47,0.0,0.5385906040268457,0.018222085273748436,1.0
Sphingomonas_hengshuiensis,46,0.0,0.5376884422110553,0.01925664095886375,1.0
Mycolicibacterium_goodii,45,8.008820429618783e-07,0.5376884422110553,0.019285369316399927,0.996969696969697
Kaistia_sp.,41,2.449330393429989e-06,0.5341098169717138,0.016672228306904353,0.9951219512195122
